1516144535293767680,1516144535293767680,2022-04-18 16:00:00 EDT,2022-04-18,16:00:00,-0400,784536545726459904,artypens_uned,Arte y Pensamiento,,NUEVA PUBLICACIÓN | 🎊 El nuevo libro de Esther Alegre Carvajal ya está disponible – “El mundo cultural y artístico de las mujeres en la Edad Moderna (s. XVI)”  https://t.co/LSVcVprroi,es,[],[],['https://pbs.twimg.com/media/FQoaSNAXwAUh6lL.jpg'],0,14,46,[],[],https://twitter.com/artypens_uned/status/1516144535293767680,False,,1,https://pbs.twimg.com/media/FQoaSNAXwAUh6lL.jpg,Philippines,,,,,,[],,,,
1516143420867289102,1516143420867289102,2022-04-18 15:55:34 EDT,2022-04-18,15:55:34,-0400,4034184622,la_excusa_,La Excusa,,💣 Esta moderna torre de purificación de aire reduce la polución en China...  https://t.co/WaeqUTAgEn,es,[],['https://www.cinconoticias.com/esta-moderna-torre-de-purificacion-de-aire-reduce-la-polucion-en-china/'],[],0,0,0,[],[],https://twitter.com/La_Excusa_/status/1516143420867289102,False,,0,,Philippines,,,,,,[],,,,
1516136914906394625,1516134343172714502,2022-04-18 15:29:43 EDT,2022-04-18,15:29:43,-0400,1423736042117607428,moria15182591,Moriña,,"@KevinGarrotxa Antes en Madrid teníamos que aceptar, porque era verdad, que Barcelona era más moderna y más cosmopolita... Hoy lo dudo bastante.",es,[],[],[],0,0,2,[],[],https://twitter.com/Moria15182591/status/1516136914906394625,False,,0,,Philippines,,,,,,"[{'screen_name': 'KevinGarrotxa', 'name': 'Kevin', 'id': '403600376'}]",,,,
1516134371341778947,1516134371341778947,2022-04-18 15:19:37 EDT,2022-04-18,15:19:37,-0400,895965647842291712,sonidomatinal,Sonido Matinal,,♻️ “¿No será que esta vida moderna está teniendo más de moderna que de vida?” - Mafalda,es,[],[],[],0,0,0,[],[],https://twitter.com/SonidoMatinal/status/1516134371341778947,False,,0,,Philippines,,,,,,[],,,,
1516125924072300545,1516125924072300545,2022-04-18 14:46:03 EDT,2022-04-18,14:46:03,-0400,1291889844,dont_u_panic,Don't Panic,,♻️ “¿No será que esta vida moderna está teniendo más de moderna que de vida?” - Mafalda,es,[],[],[],0,0,0,[],[],https://twitter.com/Dont_U_Panic/status/1516125924072300545,False,,0,,Philippines,,,,,,[],,,,
1516121907304796167,1516121907304796167,2022-04-18 14:30:05 EDT,2022-04-18,14:30:05,-0400,385376697,cadena_dial,Cadena Dial España,,"Pirexia, el efecto secundario más común de la vacuna Moderna que puedes sufrir si Sanidad abre la puerta a la cuarta dosis - Cadena Dial  https://t.co/bYACuO6prt  https://t.co/qSm2th7dif",es,[],['http://cdial.es/3knbp3'],['https://pbs.twimg.com/media/FQpX70cXEAgSOgo.png'],0,0,5,[],[],https://twitter.com/Cadena_Dial/status/1516121907304796167,False,,1,https://pbs.twimg.com/media/FQpX70cXEAgSOgo.png,Philippines,,,,,,[],,,,
1516114814204092421,1516114814204092421,2022-04-18 14:01:54 EDT,2022-04-18,14:01:54,-0400,376399794,ingenius6,Fernando M. Gracia,,Los anticuerpos de la vacuna Covid de Pfizer disminuyen más rápido que los de Moderna:  https://t.co/FaV9VwmYaH,es,[],['https://okdiario.com/salud/anticuerpos-vacuna-covid-pfizer-disminuyen-mas-rapido-que-moderna-8927069'],[],0,0,1,[],[],https://twitter.com/ingenius6/status/1516114814204092421,False,,0,,Philippines,,,,,,[],,,,
1516112654737231872,1516013232028274689,2022-04-18 13:53:19 EDT,2022-04-18,13:53:19,-0400,3086921158,boyerticaesp,♡ Angelique ♡ 🐧,,"@missarrafoglu Si pero cuando un actor ha tenido éxito han sólido traer más trabajos suyos aunque sean antiguos, por ejemplo de Kivanc trajeron primero Cesur ve Güzel que es relativamente moderna, luego Kuzey Güney (2010) y Aşk-i memnu (2008) que son las dos más antiguas que Çalıkuşu y KVS",es,[],[],[],1,0,1,[],[],https://twitter.com/BoyerticaESP/status/1516112654737231872,False,,0,,Philippines,,,,,,"[{'screen_name': 'missarrafoglu', 'name': 'Capri♡', 'id': '1139306688845090818'}]",,,,
1516110563042021381,1516110563042021381,2022-04-18 13:45:00 EDT,2022-04-18,13:45:00,-0400,199431256,tronxanidos,"""QUE TE PARECE MI OFICINA""YUB*1",,no queremos oro no queremos plata queremos que no nos deis la lata #cuatroaldia18a  con esto y un bizcocho nos seguiremos tocando el chocho PARAR LA GUERRA Y PONEROS A SEMBRAR ME VOY HA HACER TERRORISTA DE LA BONDAD 666/6666/66666/LLAVE LUCIFER MODERNA  888SPORT Y OBAMA 1BEBE,es,[],[],[],0,0,0,['cuatroaldia18a'],[],https://twitter.com/TRONXANIDOS/status/1516110563042021381,False,https://twitter.com/Antipases/status/1516062422217416710,0,,Philippines,,,,,,[],,,,
1516109042363801601,1516109042363801601,2022-04-18 13:38:58 EDT,2022-04-18,13:38:58,-0400,2965263818,sayramdhan,Pak Saikhu,,"Warga Duke of Condet yang mau booster vaksin MODERNA bisa langsung otw ke puskesmas kecamatan ea, monggo bukad @ekakunjeri warganya dikawal buat ngebooster  https://t.co/axI1CLl9Tw",in,"[{'screen_name': 'ekakunjeri', 'name': 'eka mustikasari', 'id': '581492324'}]",[],['https://pbs.twimg.com/media/FQpNInbaAAUXyCG.jpg'],0,1,1,[],[],https://twitter.com/SayRamdhan/status/1516109042363801601,False,,1,https://pbs.twimg.com/media/FQpNInbaAAUXyCG.jpg,Philippines,,,,,,[],,,,
1516107314331525120,1516107314331525120,2022-04-18 13:32:06 EDT,2022-04-18,13:32:06,-0400,1323273368196448257,saviradef,sapphire.,,Kalo vaksin booster enak astra/pfizer/moderna?,in,[],[],[],4,0,1,[],[],https://twitter.com/saviradef/status/1516107314331525120,False,,0,,Philippines,,,,,,[],,,,
1516105504103280645,1516105504103280645,2022-04-18 13:24:54 EDT,2022-04-18,13:24:54,-0400,127578030,wizfun,EL PUNTO link,,"Pfizer o Moderna, ¿qué vacuna es mejor?  https://t.co/87c35CYyhm",es,[],['https://prnoticias.com/2022/04/18/pfizer-o-moderna-que-vacuna-es-mejor/'],[],0,0,0,[],[],https://twitter.com/wizfun/status/1516105504103280645,False,,0,,Philippines,,,,,,[],,,,
1516104762110115841,1516104762110115841,2022-04-18 13:21:57 EDT,2022-04-18,13:21:57,-0400,2933901686,ayusuf75,Dr.Md.Abdullah Yusuf,,Moderna Is Developing 2 New Vaccines—And 1 Could Protect Against the Common Cold  https://t.co/hIxBuZcGR9,en,[],['https://www.msn.com/en-us/health/medical/moderna-is-developing-2-new-vaccines-and-1-could-protect-against-the-common-cold/ar-AAWfzGV?ocid=msedgntp&cvid=c84b183a347f4fd2b21285b03cdcec5f'],[],0,0,0,[],[],https://twitter.com/ayusuf75/status/1516104762110115841,False,,0,,Philippines,,,,,,[],,,,
1516094670522265600,1516094670522265600,2022-04-18 12:41:51 EDT,2022-04-18,12:41:51,-0400,389099478,intoleranciacer,Intolerancia Cero,,🔔 “La ciencia moderna aún no ha producido un medicamento tranquilizador tan eficaz como lo son unas pocas palabras bondadosas.” - Sigmund Freud,es,[],[],[],0,0,0,[],[],https://twitter.com/intoleranciacer/status/1516094670522265600,False,,0,,Philippines,,,,,,[],,,,
1516094422227697665,1516094422227697665,2022-04-18 12:40:52 EDT,2022-04-18,12:40:52,-0400,12597482,msn_es,MSN España,,"Pirexia, el efecto secundario más común de la vacuna Moderna que puedes sufrir si Sanidad abre la puerta a la cuarta dosis  https://t.co/GIF97rZqdb",es,[],['http://www.msn.com/es-es/salud/vida-saludable/pirexia-el-efecto-secundario-m%C3%A1s-com%C3%BAn-de-la-vacuna-moderna-que-puedes-sufrir-si-sanidad-abre-la-puerta-a-la-cuarta-dosis/ar-AAWkaTS?ocid=ob-tw-eses-686'],[],0,0,0,[],[],https://twitter.com/msn_es/status/1516094422227697665,False,,0,,Philippines,,,,,,[],,,,
1516092477358452739,1516092477358452739,2022-04-18 12:33:08 EDT,2022-04-18,12:33:08,-0400,852378630038495233,mtwinklelife,🌈🍀🌟🧜🏻‍♀️🦄,,ถ้าเราฉีด Pfizer Moderna กันหมดตั้งแต่แรก คงไม่เป็นแบบนี้อะ,th,[],[],[],0,0,0,[],[],https://twitter.com/MTwinklelife/status/1516092477358452739,False,https://twitter.com/jensenpiyanut/status/1515997473604608002,0,,Philippines,,,,,,[],,,,
1516091868894875649,1516091868894875649,2022-04-18 12:30:43 EDT,2022-04-18,12:30:43,-0400,1384860590896713729,yeanwoo_momo503,VOS SOS,,"Voseado: ""Qué hablás de prensa si vos sos la versión moderna 2.0 de los diarios chicha. Sos el Ajá, el Chino de nuestros impuestos"".",es,[],[],[],0,0,0,[],[],https://twitter.com/Yeanwoo_Momo503/status/1516091868894875649,False,https://twitter.com/NeftaliReyes123/status/1516075064562634754,0,,Philippines,,,,,,[],,,,
1516083256306782216,1516083256306782216,2022-04-18 11:56:30 EDT,2022-04-18,11:56:30,-0400,489422995,polocorner,Pandjer_Wengie,,"Done, booster moderna.  https://t.co/LsPHTnZ8m9",en,[],[],['https://pbs.twimg.com/media/FQo1rw2UcAIRpKY.jpg'],0,0,1,[],[],https://twitter.com/polocorner/status/1516083256306782216,False,,1,https://pbs.twimg.com/media/FQo1rw2UcAIRpKY.jpg,Philippines,,,,,,[],,,,
